samples_per_symbol,symbol_count,seed,trim,tap_count,rolloff,normalized_cfo_step,imbalance_at_pos_step,imbalance_at_neg_step,central_slope_wrt_deltaf_over_Rs,imbalance_at_0p10
4,1024,19,160,63,0.05,0.01,0.0010842376238927524,-0.0010128883942914025,0.10485630090920775,0.00576928977107884
4,1024,19,160,127,0.05,0.01,0.0026515494722351915,-0.002518783863132874,0.2585166667684033,0.011285611806865296
4,1024,19,160,255,0.05,0.01,0.004932824535360943,-0.005225851333410656,0.5079337934385799,0.01931794072906581
4,1024,19,160,63,0.2,0.01,0.0047674320927160105,-0.004842075756706604,0.48047539247113075,0.03865019587485657
4,1024,19,160,127,0.2,0.01,0.0073984046064215344,-0.007981537394927416,0.7689971000674475,0.05692163331278329
4,1024,19,160,255,0.2,0.01,0.008651490429635911,-0.010503331272023575,0.9577410850829743,0.06874163330865489
4,1024,19,160,63,0.35,0.01,0.007839544817190978,-0.0055569881683867495,0.6698266492788864,0.062446377780790784
4,1024,19,160,127,0.35,0.01,0.009518254622487477,-0.007569362157895833,0.8543808390191655,0.07596312676920262
4,1024,19,160,255,0.35,0.01,0.009506679545132842,-0.010143767158718833,0.9825223351925837,0.08398215216865582
4,1024,19,160,63,0.5,0.01,0.009419040328555495,-0.005869706871951339,0.7644373600253418,0.07412128764128274
4,1024,19,160,127,0.5,0.01,0.010643684244354227,-0.0073469803722243,0.8995332308289263,0.08415449473831887
4,1024,19,160,255,0.5,0.01,0.009731809687745915,-0.010388322305603622,1.0060065996674767,0.0900082797344416
