design,samples_per_symbol,symbol_count,seed,trim,tap_count,rolloff,normalized_cfo_step,orientation_sign,imbalance_at_pos_step,imbalance_at_neg_step,central_slope_wrt_deltaf_over_Rs,imbalance_at_0p10
proxy_bandpass,4,1024,19,160,63,0.05,0.01,-1.0,0.0010842376238927524,-0.0010128883942914025,0.10485630090920775,0.00576928977107884
gnuradio_half_sine,4,1024,19,160,63,0.05,0.01,1.0,0.008076957716566493,-0.00790688071118609,0.7991919213876292,0.05167586488885846
proxy_bandpass,4,1024,19,160,127,0.05,0.01,-1.0,0.0026515494722351915,-0.002518783863132874,0.2585166667684033,0.011285611806865296
gnuradio_half_sine,4,1024,19,160,127,0.05,0.01,1.0,0.0075737055910226675,-0.007646411144977218,0.7610058367999942,0.04764152580743817
proxy_bandpass,4,1024,19,160,255,0.05,0.01,-1.0,0.004932824535360943,-0.005225851333410656,0.5079337934385799,0.01931794072906581
gnuradio_half_sine,4,1024,19,160,255,0.05,0.01,1.0,0.007855939154326448,-0.007871893464149307,0.7863916309237877,0.05039831517622483
proxy_bandpass,4,1024,19,160,63,0.2,0.01,-1.0,0.0047674320927160105,-0.004842075756706604,0.48047539247113075,0.03865019587485657
gnuradio_half_sine,4,1024,19,160,63,0.2,0.01,1.0,0.009392673412734531,-0.009465392553912481,0.9429032983323506,0.09468438439867989
proxy_bandpass,4,1024,19,160,127,0.2,0.01,-1.0,0.0073984046064215344,-0.007981537394927416,0.7689971000674475,0.05692163331278329
gnuradio_half_sine,4,1024,19,160,127,0.2,0.01,1.0,0.009545636209271324,-0.009665343220991017,0.9605489715131171,0.09655559439833161
proxy_bandpass,4,1024,19,160,255,0.2,0.01,-1.0,0.008651490429635911,-0.010503331272023575,0.9577410850829743,0.06874163330865489
gnuradio_half_sine,4,1024,19,160,255,0.2,0.01,1.0,0.009814918208364904,-0.009932009507971823,0.9873463858168363,0.10166159189423003
proxy_bandpass,4,1024,19,160,63,0.35,0.01,-1.0,0.007839544817190978,-0.0055569881683867495,0.6698266492788864,0.062446377780790784
gnuradio_half_sine,4,1024,19,160,63,0.35,0.01,1.0,0.009847005756131465,-0.0098725267668065,0.9859766261468983,0.09817350627341691
proxy_bandpass,4,1024,19,160,127,0.35,0.01,-1.0,0.009518254622487477,-0.007569362157895833,0.8543808390191655,0.07596312676920262
gnuradio_half_sine,4,1024,19,160,127,0.35,0.01,1.0,0.010061115655612818,-0.010008055471332029,1.0034585563472422,0.09984220386529083
proxy_bandpass,4,1024,19,160,255,0.35,0.01,-1.0,0.009506679545132842,-0.010143767158718833,0.9825223351925837,0.08398215216865582
gnuradio_half_sine,4,1024,19,160,255,0.35,0.01,1.0,0.010460608711066856,-0.010376742018917551,1.0418675364992203,0.1045292264455609
proxy_bandpass,4,1024,19,160,63,0.5,0.01,-1.0,0.009419040328555495,-0.005869706871951339,0.7644373600253418,0.07412128764128274
gnuradio_half_sine,4,1024,19,160,63,0.5,0.01,1.0,0.010027106112061998,-0.010035114450409086,1.003111028123554,0.09933231353594915
proxy_bandpass,4,1024,19,160,127,0.5,0.01,-1.0,0.010643684244354227,-0.0073469803722243,0.8995332308289263,0.08415449473831887
gnuradio_half_sine,4,1024,19,160,127,0.5,0.01,1.0,0.010161475442243753,-0.010196639226914953,1.0179057334579351,0.10067408784449461
proxy_bandpass,4,1024,19,160,255,0.5,0.01,-1.0,0.009731809687745915,-0.010388322305603622,1.0060065996674767,0.0900082797344416
gnuradio_half_sine,4,1024,19,160,255,0.5,0.01,1.0,0.01055460889982912,-0.010586753205852924,1.0570681052841022,0.10482162351611442
