design,samples_per_symbol,symbol_count,seed,trim,tap_count,rolloff,normalized_cfo_step,reference_spacing,capture_threshold,central_slope_wrt_deltaf_over_Rs,adjacent_capture_at_reference_spacing,spacing_for_capture_below_threshold
proxy_bandpass,4,1024,19,160,63,0.05,0.01,1.0,0.05,0.10485630090920775,0.003318342606286666,0.55
gnuradio_half_sine,4,1024,19,160,63,0.05,0.01,1.0,0.05,0.7991919213876292,0.03946839304056568,1.0
proxy_bandpass,4,1024,19,160,127,0.05,0.01,1.0,0.05,0.2585166667684033,0.0064405153111846206,0.55
gnuradio_half_sine,4,1024,19,160,127,0.05,0.01,1.0,0.05,0.7610058367999942,0.03739299449084221,0.55
proxy_bandpass,4,1024,19,160,255,0.05,0.01,1.0,0.05,0.5079337934385799,0.010748502310902547,0.55
gnuradio_half_sine,4,1024,19,160,255,0.05,0.01,1.0,0.05,0.7863916309237877,0.03762759775910179,0.7000000000000001
proxy_bandpass,4,1024,19,160,63,0.2,0.01,1.0,0.05,0.48047539247113075,0.04167634239965641,0.75
gnuradio_half_sine,4,1024,19,160,63,0.2,0.01,1.0,0.05,0.9429032983323506,0.18324702090693695,1.2000000000000002
proxy_bandpass,4,1024,19,160,127,0.2,0.01,1.0,0.05,0.7689971000674475,0.0618048936798052,1.05
gnuradio_half_sine,4,1024,19,160,127,0.2,0.01,1.0,0.05,0.9605489715131171,0.18517750196101607,1.2000000000000002
proxy_bandpass,4,1024,19,160,255,0.2,0.01,1.0,0.05,0.9577410850829743,0.07321211991911632,1.05
gnuradio_half_sine,4,1024,19,160,255,0.2,0.01,1.0,0.05,0.9873463858168363,0.1895552757386331,1.2000000000000002
proxy_bandpass,4,1024,19,160,63,0.35,0.01,1.0,0.05,0.6698266492788864,0.10737479907271687,1.1500000000000001
gnuradio_half_sine,4,1024,19,160,63,0.35,0.01,1.0,0.05,0.9859766261468983,0.3146033512031468,1.35
proxy_bandpass,4,1024,19,160,127,0.35,0.01,1.0,0.05,0.8543808390191655,0.13104940804578039,1.1500000000000001
gnuradio_half_sine,4,1024,19,160,127,0.35,0.01,1.0,0.05,1.0034585563472422,0.3180730514849363,1.35
proxy_bandpass,4,1024,19,160,255,0.35,0.01,1.0,0.05,0.9825223351925837,0.14240733809233036,1.1500000000000001
gnuradio_half_sine,4,1024,19,160,255,0.35,0.01,1.0,0.05,1.0418675364992203,0.3281671977362909,1.35
proxy_bandpass,4,1024,19,160,63,0.5,0.01,1.0,0.05,0.7644373600253418,0.17272671180385712,1.25
gnuradio_half_sine,4,1024,19,160,63,0.5,0.01,1.0,0.05,1.003111028123554,0.45047765300237874,1.55
proxy_bandpass,4,1024,19,160,127,0.5,0.01,1.0,0.05,0.8995332308289263,0.19508341942571636,1.25
gnuradio_half_sine,4,1024,19,160,127,0.5,0.01,1.0,0.05,1.0179057334579351,0.45785563821524367,1.55
proxy_bandpass,4,1024,19,160,255,0.5,0.01,1.0,0.05,1.0060065996674767,0.2097499900444388,1.25
gnuradio_half_sine,4,1024,19,160,255,0.5,0.01,1.0,0.05,1.0570681052841022,0.47163095487906587,1.55
