design,samples_per_symbol,symbol_count,desired_seed,adjacent_seed,trim,tap_count,rolloff,desired_normalized_cfo,channel_spacing,block_symbols,loop_gain,tail_block_count,settle_threshold,adjacent_enabled,adjacent_relative_power_db,orientation_sign,isolated_central_slope_wrt_deltaf_over_Rs,final_residual_cfo,tail_mean_abs_residual_cfo,tail_peak_abs_residual_cfo,tail_within_threshold_fraction,tail_mean_abs_detector_output
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.0005,8,0.05,True,0.0,-1.0,0.7419663859132712,8.533118927838923e-05,7.640393881128862e-05,8.533118927838923e-05,1.0,0.004404851040896354
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.0005,8,0.05,True,0.0,1.0,1.0045124738902753,0.0012912928041012752,0.001156777023263346,0.0012912928041012752,1.0,0.07530078780470797
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.001,8,0.05,True,0.0,-1.0,0.7419663859132712,0.00017022178179940212,0.00015250131211077555,0.00017022178179940212,1.0,0.0043761741292822785
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.001,8,0.05,True,0.0,1.0,1.0045124738902753,0.0025796349856672695,0.002311348437096601,0.0025796349856672695,1.0,0.07515428674601697
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.0015,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0002546739901488284,0.00022829343631336412,0.0002546739901488284,1.0,0.004347622143636548
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.0015,8,0.05,True,0.0,1.0,1.0045124738902753,0.003865059771707986,0.003463737178925657,0.003865059771707986,1.0,0.07500925709737646
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.002,8,0.05,True,0.0,-1.0,0.7419663859132712,0.000338690015045931,0.0003037816214931357,0.000338690015045931,1.0,0.004319194499506101
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.002,8,0.05,True,0.0,1.0,1.0045124738902753,0.00514759977425485,0.0046139657820563435,0.00514759977425485,1.0,0.07486567322203685
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.003,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0005054222584322716,0.00045385138358907214,0.0005054222584322716,1.0,0.004262709912213285
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.003,8,0.05,True,0.0,1.0,1.0045124738902753,0.007704152840571647,0.006908030733931071,0.007704152840571647,1.0,0.07458274145236192
