design,samples_per_symbol,symbol_count,desired_seed,adjacent_seed,trim,tap_count,rolloff,desired_normalized_cfo,channel_spacing,block_symbols,loop_gain,tail_block_count,settle_threshold,adjacent_enabled,adjacent_relative_power_db,orientation_sign,isolated_central_slope_wrt_deltaf_over_Rs,final_residual_cfo,tail_mean_abs_residual_cfo,tail_peak_abs_residual_cfo,tail_within_threshold_fraction,tail_mean_abs_detector_output
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.8,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0415027516896362,0.03661313549031831,0.0415027516896362,1.0,0.06502535193093559
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.8,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11865575788592361,0.10681397247087546,0.11865575788592361,0.0,0.17513091949398862
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.81,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0436872804826975,0.03897472988997523,0.0436872804826975,1.0,0.062304884319578924
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.81,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11904521408692098,0.10740821491573431,0.11904521408692098,0.0,0.1659230561367602
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.82,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04124860391032164,0.036949212010269794,0.04124860391032164,1.0,0.05941454050989862
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.82,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11721656537716643,0.10583641586190363,0.11721656537716643,0.0,0.16668257247901472
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.83,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.042297034166005255,0.037988792022053,0.042297034166005255,1.0,0.06047219148981713
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.83,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11713063076194784,0.10553822603948365,0.11713063076194784,0.0,0.16668137069797404
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.84,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04257635898447871,0.038283456543690225,0.04257635898447871,1.0,0.06214549659686899
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.84,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11681878108103998,0.10515938656040723,0.11681878108103998,0.0,0.16674468046360222
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.85,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.041965816035414515,0.0379094535773946,0.041965816035414515,1.0,0.056747245969176255
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.85,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11541086114470815,0.10365184121720598,0.11541086114470815,0.0,0.16479293196712053
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.86,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.042789610342993806,0.038840834262984174,0.042789610342993806,1.0,0.05897429512450471
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.86,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.1154644485200954,0.10404629725008718,0.1154644485200954,0.0,0.16355550256635445
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.87,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04355897886800471,0.0393446746409241,0.04355897886800471,1.0,0.05776490981778071
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.87,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11566848894517268,0.10409876988945588,0.11566848894517268,0.0,0.16144108206543933
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.88,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0428653321164711,0.03893544595753287,0.0428653321164711,1.0,0.056612306082693645
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.88,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11604463274127026,0.10439866444112511,0.11604463274127026,0.0,0.16107963658694777
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.89,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04175210294069391,0.03769309413988095,0.04175210294069391,1.0,0.057159493221902495
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.89,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11406636563662867,0.10242391500836896,0.11406636563662867,0.0,0.1612189941081029
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.9,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.042975235469219775,0.03868351460767704,0.042975235469219775,1.0,0.059444332460351794
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.9,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.1144900822364809,0.10275054508888212,0.1144900822364809,0.0,0.1622129202366438
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.91,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04138265677101441,0.03723330750155422,0.04138265677101441,1.0,0.05518177167535983
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.91,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11258163095712437,0.10107479404291765,0.11258163095712437,0.0,0.1566728713164214
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.92,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04119281797445898,0.03727430055348556,0.04119281797445898,1.0,0.05620478694338166
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.92,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11310187893787778,0.10142515515966573,0.11310187893787778,0.0,0.1594105498026455
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.93,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04340251009253238,0.03946423984273382,0.04340251009253238,1.0,0.05638040105988815
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.93,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11416518119501694,0.10276861084969782,0.11416518119501694,0.0,0.15701475713936258
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.94,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04126089950617998,0.037171010048500305,0.04126089950617998,1.0,0.053381027224746164
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.94,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11162857357521211,0.10016331957597546,0.11162857357521211,0.0,0.1550612542868378
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.95,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04134839698602509,0.036877798271636786,0.04134839698602509,1.0,0.057923229297433404
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.95,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11162635265638025,0.09988819454915149,0.11162635265638025,0.0,0.15647066447307906
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.96,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04077388840682823,0.036798184507571,0.04077388840682823,1.0,0.05535315396586649
