samples_per_symbol,symbol_count,desired_seed,adjacent_seed,trim,tap_count,rolloff,desired_normalized_cfo,adjacent_relative_power_db,channel_spacing,block_symbols,loop_gain,tail_block_count,settle_threshold,proxy_tail_mean_abs_residual_cfo,half_sine_tail_mean_abs_residual_cfo,proxy_tail_peak_abs_residual_cfo,half_sine_tail_peak_abs_residual_cfo,proxy_tail_within_threshold_fraction,half_sine_tail_within_threshold_fraction,residual_ratio_half_to_proxy,absolute_gap_half_minus_proxy
4,3072,19,173,96,63,0.35,0.0,0.0,1.2,96,0.002,8,0.05,0.000622319851424547,0.005852656134849262,0.0007023511550516786,0.006549731777464334,1.0,1.0,9.404578885683941,0.0052303362834247155
4,3072,19,173,96,63,0.35,0.0,0.0,1.2,96,0.006,8,0.05,0.001842689356401213,0.017451164158172775,0.0020724735954658186,0.019506667968946238,1.0,1.0,9.47048622034429,0.015608474801771563
4,3072,19,173,96,63,0.35,0.0,0.0,1.2,96,0.01,8,0.05,0.0030316168461871364,0.028910576262053844,0.0033979570407135077,0.03227582062736103,1.0,1.0,9.536355591378465,0.02587895941586671
4,3072,19,173,96,63,0.35,0.0,0.0,1.2,96,0.014,8,0.05,0.004190162885900094,0.04023298397723775,0.0046804930048217125,0.04485812399832193,1.0,1.0,9.601770879271022,0.036042821091337655
4,3072,19,173,96,63,0.35,0.0,0.0,1.2,96,0.018,8,0.05,0.005319343117013841,0.051418656065971596,0.005921697147616538,0.057254547264979354,1.0,0.375,9.666354460480239,0.046099312948957756
4,3072,19,173,96,63,0.35,0.0,0.0,1.2,96,0.02,8,0.05,0.005873226755854369,0.05695979012453376,0.006527284871622415,0.063383622729029,1.0,0.0,9.698210624637786,0.051086563368679394
4,3072,19,173,96,63,0.35,0.0,0.0,1.2,96,0.022,8,0.05,0.006420130671153325,0.062465943477134356,0.007123113051606776,0.0694669555779176,1.0,0.0,9.729699701877383,0.05604581280598103
4,3072,19,173,96,63,0.35,0.0,0.0,1.22,96,0.002,8,0.05,0.0004377432481174615,0.0052196438246196715,0.0004826718112659102,0.005819474855386009,1.0,1.0,11.923984772048527,0.00478190057650221
4,3072,19,173,96,63,0.35,0.0,0.0,1.22,96,0.006,8,0.05,0.0012918554328876166,0.015558198137636335,0.0014182946777663956,0.01732534695599128,1.0,1.0,12.043296596167817,0.014266342704748719
4,3072,19,173,96,63,0.35,0.0,0.0,1.22,96,0.01,8,0.05,0.0021183299928110183,0.02576986155851243,0.002315668836663051,0.02866329492899821,1.0,1.0,12.165178062892783,0.02365153156570141
4,3072,19,173,96,63,0.35,0.0,0.0,1.22,96,0.014,8,0.05,0.002918162288080647,0.03586208555192722,0.003176381402147267,0.03984217314865085,1.0,1.0,12.289270442020094,0.032943923263846576
4,3072,19,173,96,63,0.35,0.0,0.0,1.22,96,0.018,8,0.05,0.0036923058028439154,0.045840877222890125,0.004001945725331242,0.05086875967066573,1.0,0.875,12.415243934449368,0.04214857142004621
4,3072,19,173,96,63,0.35,0.0,0.0,1.22,96,0.02,8,0.05,0.004070031300050192,0.050789216802011226,0.004402000978791993,0.05632667940045092,1.0,0.375,12.478827079630785,0.04671918550196103
4,3072,19,173,96,63,0.35,0.0,0.0,1.22,96,0.022,8,0.05,0.004441674244658358,0.055710771017774774,0.0047938051578618026,0.06174848123535663,1.0,0.125,12.542741306338169,0.05126909677311642
4,3072,19,173,96,63,0.35,0.0,0.0,1.24,96,0.002,8,0.05,0.0003037816214931357,0.0046139657820563435,0.000338690015045931,0.00514759977425485,1.0,1.0,15.188429633688692,0.004310184160563208
4,3072,19,173,96,63,0.35,0.0,0.0,1.24,96,0.006,8,0.05,0.0008969004424180823,0.01374060693913621,0.0009953758334356117,0.01530778373030724,1.0,1.0,15.320102755319132,0.012843706496718128
4,3072,19,173,96,63,0.35,0.0,0.0,1.24,96,0.01,8,0.05,0.0014713018620806178,0.022740799173569474,0.0016253762890902175,0.025300258166653083,1.0,1.0,15.456243045469227,0.021269497311488857
4,3072,19,173,96,63,0.35,0.0,0.0,1.24,96,0.014,8,0.05,0.002027614673462028,0.03162375259645708,0.0022297396912862935,0.03513792964486904,1.0,1.0,15.596529759996983,0.029596137922995057
4,3072,19,173,96,63,0.35,0.0,0.0,1.24,96,0.018,8,0.05,0.0025664441678552156,0.04039759151323064,0.0028094704866416446,0.04483180169962877,1.0,1.0,15.740685894987156,0.037831147345375425
4,3072,19,173,96,63,0.35,0.0,0.0,1.24,96,0.02,8,0.05,0.0028294856491181113,0.04474585626270431,0.003090401038775777,0.04962776345954017,1.0,1.0,15.814130839168813,0.0419163706135862
4,3072,19,173,96,63,0.35,0.0,0.0,1.24,96,0.022,8,0.05,0.0030883731491507796,0.04906942663070718,0.003365531227274678,0.05439109218059262,1.0,0.625,15.88843843050506,0.0459810534815564
4,3072,19,173,96,63,0.35,0.0,0.0,1.26,96,0.002,8,0.05,0.00017916131172867835,0.004005794765819173,0.00020218797321303934,0.004467156815954307,1.0,1.0,22.35859252853397,0.0038266334540904947
4,3072,19,173,96,63,0.35,0.0,0.0,1.26,96,0.006,8,0.05,0.0005273006336649845,0.011915676415309655,0.0005924872736356875,0.013265368042159328,1.0,1.0,22.597500656295754,0.01138837578164467
4,3072,19,173,96,63,0.35,0.0,0.0,1.26,96,0.01,8,0.05,0.000862281375549842,0.019699254994822966,0.0009647004564130849,0.02189541423634978,1.0,1.0,22.84550676078507,0.018836973619273126
4,3072,19,173,96,63,0.35,0.0,0.0,1.26,96,0.014,8,0.05,0.0011845894974378476,0.027366804511543885,0.0013196153307660492,0.030372068561785263,1.0,1.0,23.102352815667903,0.026182215014106038
4,3072,19,173,96,63,0.35,0.0,0.0,1.26,96,0.018,8,0.05,0.0014946922417603211,0.034927681033674544,0.0016579852133367615,0.03870881907974144,1.0,1.0,23.36780780539792,0.033432988791914225
4,3072,19,173,96,63,0.35,0.0,0.0,1.26,96,0.02,8,0.05,0.0016453076871148094,0.03867081007495157,0.001821192153328166,0.04282859627363301,1.0,1.0,23.50369500963325,0.037025502387836765
4,3072,19,173,96,63,0.35,0.0,0.0,1.26,96,0.022,8,0.05,0.0017930389210419086,0.04239040080143156,0.0019805305095916105,0.046917868934458325,1.0,1.0,23.641651223498886,0.040597361880389655
4,3072,19,173,96,63,0.35,0.0,0.0,1.28,96,0.002,8,0.05,0.00010033632420023179,0.0034368355556040906,0.00011519931907346057,0.003828848326766043,1.0,1.0,34.253153910098604,0.003336499231403859
4,3072,19,173,96,63,0.35,0.0,0.0,1.28,96,0.006,8,0.05,0.0002947982755411703,0.01020790546437628,0.00033712200869052327,0.01134929559069362,1.0,1.0,34.6267475467328,0.00991310718883511
4,3072,19,173,96,63,0.35,0.0,0.0,1.28,96,0.01,8,0.05,0.0004812357508262863,0.016850960077615353,0.0005481671585872561,0.018699142312548944,1.0,1.0,35.01601875729743,0.016369724326789067
4,3072,19,173,96,63,0.35,0.0,0.0,1.28,96,0.014,8,0.05,0.0006599468148903101,0.023375895258369923,0.0007488244752015237,0.02589244970287894,1.0,1.0,35.420877457004224,0.022715948443479614
4,3072,19,173,96,63,0.35,0.0,0.0,1.28,96,0.018,8,0.05,0.000831218831829347,0.029791937070115068,0.000939563017534496,0.03294245532274004,1.0,1.0,35.84126818271062,0.02896071823828572
4,3072,19,173,96,63,0.35,0.0,0.0,1.28,96,0.02,8,0.05,0.0009141521685267274,0.0329618345986258,0.0010313538938465827,0.03641764284825652,1.0,1.0,36.05727332217347,0.03204768243009907
4,3072,19,173,96,63,0.35,0.0,0.0,1.28,96,0.022,8,0.05,0.000995328852239099,0.03610768631246964,0.001120832048946686,0.03986161235848682,1.0,1.0,36.27714220404797,0.035112357460230545
4,3072,19,173,96,63,0.35,0.0,0.0,1.3,96,0.002,8,0.05,6.094523130580839e-05,0.0028844914212188748,7.021622703298937e-05,0.0032117911705246277,1.0,1.0,47.329239046533374,0.0028235461899130663
4,3072,19,173,96,63,0.35,0.0,0.0,1.3,96,0.006,8,0.05,0.00017871451362611363,0.008551482093621141,0.00020514462180302962,0.009499893389146632,1.0,1.0,47.84995868612881,0.008372767579995027
4,3072,19,173,96,63,0.35,0.0,0.0,1.3,96,0.01,8,0.05,0.00029115066515002984,0.014090430802976908,0.00033301147236927746,0.015618459729561728,1.0,1.0,48.39566756859757,0.013799280137826879
4,3072,19,173,96,63,0.35,0.0,0.0,1.3,96,0.014,8,0.05,0.000398442751817,0.019510266277903966,0.0004541383589737053,0.021579949274736727,1.0,1.0,48.96629738885249,0.019111823526086966
4,3072,19,173,96,63,0.35,0.0,0.0,1.3,96,0.018,8,0.05,0.0005007741712063815,0.024819314585026418,0.0005688345814314306,0.027396002593861723,1.0,1.0,49.56189039310049,0.024318540413820037
4,3072,19,173,96,63,0.35,0.0,0.0,1.3,96,0.02,8,0.05,0.000550135425261281,0.02743475019960272,0.0006238645888540749,0.030252939206054732,1.0,1.0,49.869084846831804,0.02688461477434144
4,3072,19,173,96,63,0.35,0.0,0.0,1.3,96,0.022,8,0.05,0.000598322785657454,0.03002537628039056,0.0006773975524826929,0.033077577773483295,1.0,1.0,50.18257201653758,0.029427053494733107
